2019-02-27 16:22:54 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:54 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:54 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:54 status unpacked dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:54 status half-configured dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:54 status installed dpkg:i386 1.18.4ubuntu1
2019-02-27 16:22:54 startup archives install
2019-02-27 16:22:54 install libc6:i386 <none> 2.23-0ubuntu3
2019-02-27 16:22:54 status half-installed libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 configure libc6:i386 2.23-0ubuntu3 2.23-0ubuntu3
2019-02-27 16:22:54 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 status unpacked libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 status half-configured libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 status installed libc6:i386 2.23-0ubuntu3
2019-02-27 16:22:54 startup archives install
2019-02-27 16:22:54 install perl-base:i386 <none> 5.22.1-9
2019-02-27 16:22:54 status half-installed perl-base:i386 5.22.1-9
2019-02-27 16:22:54 status unpacked perl-base:i386 5.22.1-9
2019-02-27 16:22:54 status unpacked perl-base:i386 5.22.1-9
2019-02-27 16:22:54 configure perl-base:i386 5.22.1-9 5.22.1-9
2019-02-27 16:22:54 status unpacked perl-base:i386 5.22.1-9
2019-02-27 16:22:54 status half-configured perl-base:i386 5.22.1-9
2019-02-27 16:22:54 status installed perl-base:i386 5.22.1-9
2019-02-27 16:22:54 startup archives install
2019-02-27 16:22:54 install mawk:i386 <none> 1.3.3-17ubuntu2
2019-02-27 16:22:54 status half-installed mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:54 status unpacked mawk:i386 1.3.3-17ubuntu2
2019-02-27 16:22:54 status unpacked mawk:i386 1.3.3-17ubuntu2
